Date,New Zealand,North Island,South Island
2006-01-01,17,15,
2006-01-08,10,10,
2006-01-15,11,11,12
2006-01-22,8,8,9
2006-01-29,8,10,7
2006-02-05,9,7,10
2006-02-12,11,10,23
2006-02-19,9,8,18
2006-02-26,21,20,42
2006-03-05,20,13,82
2006-03-12,14,11,56
2006-03-19,16,17,18
2006-03-26,13,12,14
2006-04-02,18,16,21
2006-04-09,13,11,22
2006-04-16,16,16,22
2006-04-23,14,11,49
2006-04-30,19,18,40
2006-05-07,16,15,27
2006-05-14,21,20,33
2006-05-21,31,28,25
2006-05-28,26,26,31
2006-06-04,36,33,28
2006-06-11,28,26,40
2006-06-18,47,55,48
2006-06-25,80,82,82
2006-07-02,102,111,44
2006-07-09,83,87,58
2006-07-16,55,56,61
2006-07-23,68,65,81
2006-07-30,73,69,72
2006-08-06,59,55,101
2006-08-13,60,59,74
2006-08-20,58,54,102
2006-08-27,54,52,73
2006-09-03,52,53,52
2006-09-10,44,45,43
2006-09-17,35,33,49
2006-09-24,37,34,61
2006-10-01,21,20,37
2006-10-08,13,14,14
2006-10-15,12,14,8
2006-10-22,14,14,10
2006-10-29,21,21,15
2006-11-05,13,13,16
2006-11-12,11,11,12
2006-11-19,15,16,10
2006-11-26,11,12,7
2006-12-03,9,9,8
2006-12-10,6,7,8
2006-12-17,7,7,6
2006-12-24,15,16,7
2006-12-31,12,13,7
2007-01-07,6,6,9
2007-01-14,7,5,7
2007-01-21,4,3,6
2007-01-28,3,3,4
2007-02-04,4,3,4
2007-02-11,4,3,5
2007-02-18,6,6,6
2007-02-25,7,6,4
2007-03-04,8,8,4
2007-03-11,7,5,6
2007-03-18,8,7,9
2007-03-25,9,8,9
2007-04-01,13,12,13
2007-04-08,13,12,12
2007-04-15,12,13,12
2007-04-22,20,22,13
2007-04-29,19,18,17
2007-05-06,13,14,14
2007-05-13,32,29,37
2007-05-20,17,16,26
2007-05-27,31,30,38
2007-06-03,32,33,33
2007-06-10,29,28,26
2007-06-17,47,51,28
2007-06-24,41,46,24
2007-07-01,57,63,35
2007-07-08,62,57,80
2007-07-15,76,73,92
2007-07-22,75,66,132
2007-07-29,74,64,168
2007-08-05,72,71,80
2007-08-12,87,75,235
2007-08-19,72,68,100
2007-08-26,73,68,118
2007-09-02,62,62,64
2007-09-09,53,55,73
2007-09-16,45,42,65
2007-09-23,32,30,44
2007-09-30,19,17,20
2007-10-07,23,18,14
2007-10-14,22,18,14
2007-10-21,14,12,16
2007-10-28,15,12,14
2007-11-04,11,9,8
2007-11-11,11,8,6
2007-11-18,9,7,5
2007-11-25,7,5,4
2007-12-02,7,6,3
2007-12-09,6,5,2
2007-12-16,9,6,2
2007-12-23,4,4,2
2007-12-30,9,8,2
2008-01-06,10,10,2
2008-01-13,8,8,3
2008-01-20,7,8,4
2008-01-27,10,11,6
2008-02-03,7,6,7
2008-02-10,9,9,9
2008-02-17,16,16,10
2008-02-24,12,13,9
2008-03-02,14,14,8
2008-03-09,16,18,8
2008-03-16,14,13,9
2008-03-23,17,17,12
2008-03-30,17,17,14
2008-04-06,16,16,17
2008-04-13,17,17,14
2008-04-20,17,16,16
2008-04-27,24,25,18
2008-05-04,23,21,25
2008-05-11,20,19,28
2008-05-18,27,27,27
2008-05-25,29,26,33
2008-06-01,32,31,36
2008-06-08,42,43,29
2008-06-15,66,66,43
2008-06-22,54,55,50
2008-06-29,71,71,56
2008-07-06,70,71,61
2008-07-13,78,82,67
2008-07-20,85,83,72
2008-07-27,80,75,86
2008-08-03,111,102,138
2008-08-10,120,108,175
2008-08-17,121,118,133
2008-08-24,102,105,112
2008-08-31,93,88,125
2008-09-07,75,68,114
2008-09-14,57,50,88
2008-09-21,52,44,97
2008-09-28,35,30,78
2008-10-05,22,21,47
2008-10-12,27,25,43
2008-10-19,21,20,38
2008-10-26,19,18,27
2008-11-02,17,18,19
2008-11-09,19,19,19
2008-11-16,15,14,21
2008-11-23,12,10,22
2008-11-30,9,7,18
2008-12-07,13,12,17
2008-12-14,10,10,15
2008-12-21,10,9,14
2008-12-28,15,13,16
2009-01-04,13,13,15
2009-01-11,8,9,11
2009-01-18,6,6,9
2009-01-25,6,6,7
2009-02-01,6,6,7
2009-02-08,6,6,6
2009-02-15,12,10,7
2009-02-22,12,10,10
2009-03-01,14,12,18
2009-03-08,12,11,21
2009-03-15,16,15,21
2009-03-22,18,17,23
2009-03-29,13,14,16
2009-04-05,14,16,13
2009-04-12,15,15,10
2009-04-19,19,17,15
2009-04-26,35,36,40
2009-05-03,31,30,58
2009-05-10,30,29,39
2009-05-17,38,35,48
2009-05-24,42,39,59
2009-05-31,53,50,58
2009-06-07,91,90,96
2009-06-14,139,139,236
2009-06-21,159,153,188
2009-06-28,262,229,426
2009-07-05,266,225,478
2009-07-12,190,171,290
2009-07-19,155,130,308
2009-07-26,120,105,215
2009-08-02,100,87,161
2009-08-09,76,69,107
2009-08-16,64,66,69
2009-08-23,62,62,55
2009-08-30,56,55,55
2009-09-06,48,44,61
2009-09-13,43,41,52
2009-09-20,43,40,47
2009-09-27,39,40,41
2009-10-04,35,31,45
2009-10-11,39,35,53
2009-10-18,38,34,55
2009-10-25,30,29,38
2009-11-01,26,25,29
2009-11-08,22,20,29
2009-11-15,26,27,26
2009-11-22,21,18,30
2009-11-29,17,15,27
2009-12-06,18,17,28
2009-12-13,14,13,21
2009-12-20,12,10,24
2009-12-27,14,14,20
2010-01-03,13,12,18
2010-01-10,9,10,14
2010-01-17,8,9,10
2010-01-24,8,8,9
2010-01-31,11,10,9
2010-02-07,10,9,10
2010-02-14,10,9,14
2010-02-21,12,12,15
2010-02-28,12,11,14
2010-03-07,16,15,16
2010-03-14,15,13,20
2010-03-21,17,14,21
2010-03-28,17,16,20
2010-04-04,12,13,16
2010-04-11,16,16,13
2010-04-18,19,19,14
2010-04-25,19,18,18
2010-05-02,28,27,20
2010-05-09,25,22,22
2010-05-16,20,19,25
2010-05-23,28,26,32
2010-05-30,26,24,30
2010-06-06,37,36,43
2010-06-13,41,38,48
2010-06-20,31,29,47
2010-06-27,45,48,37
2010-07-04,52,54,35
2010-07-11,62,65,44
2010-07-18,81,77,91
2010-07-25,110,104,129
2010-08-01,130,122,166
2010-08-08,123,121,121
2010-08-15,95,87,125
2010-08-22,93,87,113
2010-08-29,65,60,94
2010-09-05,52,55,56
2010-09-12,47,44,53
2010-09-19,39,36,53
2010-09-26,37,34,51
2010-10-03,29,26,45
2010-10-10,32,28,52
2010-10-17,25,23,47
2010-10-24,22,23,29
2010-10-31,23,21,22
2010-11-07,23,22,24
2010-11-14,16,15,26
2010-11-21,16,13,28
2010-11-28,16,14,27
2010-12-05,13,12,24
2010-12-12,11,10,20
2010-12-19,12,11,19
2010-12-26,13,12,19
2011-01-02,9,9,15
2011-01-09,10,10,13
2011-01-16,10,9,13
2011-01-23,9,7,18
2011-01-30,9,8,16
2011-02-06,10,11,13
2011-02-13,11,10,12
2011-02-20,9,10,10
2011-02-27,14,15,9
2011-03-06,14,15,9
2011-03-13,19,17,13
2011-03-20,14,15,14
2011-03-27,17,16,16
2011-04-03,18,17,23
2011-04-10,16,16,21
2011-04-17,19,17,21
2011-04-24,18,16,25
2011-05-01,22,20,26
2011-05-08,23,23,26
2011-05-15,24,23,27
2011-05-22,28,26,35
2011-05-29,34,31,46
2011-06-05,45,43,47
2011-06-12,42,43,44
2011-06-19,46,46,43
2011-06-26,51,54,42
2011-07-03,60,60,52
2011-07-10,71,75,52
2011-07-17,65,63,62
2011-07-24,68,65,71
2011-07-31,76,69,103
2011-08-07,65,57,97
2011-08-14,62,59,74
2011-08-21,82,72,123
2011-08-28,69,67,88
2011-09-04,57,54,58
2011-09-11,45,46,46
2011-09-18,52,50,52
2011-09-25,65,64,61
2011-10-02,50,47,62
2011-10-09,36,36,47
2011-10-16,34,30,48
2011-10-23,25,22,46
2011-10-30,24,25,32
2011-11-06,20,21,21
2011-11-13,15,14,18
2011-11-20,17,16,19
2011-11-27,18,18,22
2011-12-04,12,12,18
2011-12-11,12,13,15
2011-12-18,15,15,14
2011-12-25,18,18,14
2012-01-01,14,13,20
2012-01-08,11,11,17
2012-01-15,10,10,13
2012-01-22,10,10,11
2012-01-29,10,10,9
2012-02-05,11,10,9
2012-02-12,10,10,11
2012-02-19,13,13,13
2012-02-26,16,15,16
2012-03-04,18,18,18
2012-03-11,17,16,22
2012-03-18,21,19,29
2012-03-25,17,14,31
2012-04-01,20,18,26
2012-04-08,21,21,21
2012-04-15,22,20,23
2012-04-22,21,18,33
2012-04-29,23,22,33
2012-05-06,27,25,33
2012-05-13,28,26,33
2012-05-20,37,37,37
2012-05-27,46,45,47
2012-06-03,47,44,57
2012-06-10,62,60,60
2012-06-17,61,57,77
2012-06-24,81,72,135
2012-07-01,92,83,194
2012-07-08,129,108,268
2012-07-15,132,114,246
2012-07-22,136,124,230
2012-07-29,148,139,270
2012-08-05,130,125,153
2012-08-12,110,107,123
2012-08-19,105,108,88
2012-08-26,101,107,75
2012-09-02,95,98,69
2012-09-09,64,64,62
2012-09-16,65,69,48
2012-09-23,57,60,63
2012-09-30,42,43,47
2012-10-07,40,37,47
2012-10-14,35,33,47
2012-10-21,30,30,34
2012-10-28,24,25,24
2012-11-04,20,20,19
2012-11-11,21,21,21
2012-11-18,25,24,23
2012-11-25,21,20,27
2012-12-02,19,19,25
2012-12-09,15,15,18
2012-12-16,14,13,17
2012-12-23,12,12,17
2012-12-30,17,17,18
2013-01-06,13,13,14
2013-01-13,12,13,12
2013-01-20,10,9,11
2013-01-27,12,12,11
2013-02-03,10,10,12
2013-02-10,13,12,12
2013-02-17,17,16,17
2013-02-24,19,18,24
2013-03-03,21,19,30
2013-03-10,21,21,29
2013-03-17,18,17,24
2013-03-24,18,16,27
2013-03-31,21,20,23
2013-04-07,27,26,23
2013-04-14,25,25,24
2013-04-21,23,23,22
2013-04-28,23,23,22
2013-05-05,22,21,26
2013-05-12,32,30,33
2013-05-19,32,31,40
2013-05-26,42,41,46
2013-06-02,48,50,42
2013-06-09,52,52,51
2013-06-16,46,48,40
2013-06-23,63,59,81
2013-06-30,71,72,74
2013-07-07,73,74,74
2013-07-14,76,80,58
2013-07-21,76,77,69
2013-07-28,93,88,106
2013-08-04,91,82,119
2013-08-11,94,89,119
2013-08-18,86,81,115
2013-08-25,103,98,121
2013-09-01,123,118,140
2013-09-08,110,104,128
2013-09-15,91,88,104
2013-09-22,91,80,146
2013-09-29,73,65,110
2013-10-06,54,46,99
2013-10-13,44,39,69
2013-10-20,39,37,51
2013-10-27,35,34,38
2013-11-03,31,28,42
2013-11-10,30,30,32
2013-11-17,23,21,31
2013-11-24,21,20,25
2013-12-01,20,19,27
2013-12-08,18,17,23
2013-12-15,18,17,21
2013-12-22,16,15,21
2013-12-29,20,19,22
2014-01-05,19,18,30
2014-01-12,19,19,23
2014-01-19,13,13,16
2014-01-26,10,11,10
2014-02-02,12,12,9
2014-02-09,16,17,10
2014-02-16,16,15,16
2014-02-23,17,15,22
2014-03-02,25,24,27
2014-03-09,21,22,21
2014-03-16,24,23,21
2014-03-23,28,24,37
2014-03-30,31,30,40
2014-04-06,30,29,32
2014-04-13,25,23,34
2014-04-20,28,26,35
2014-04-27,38,35,52
2014-05-04,35,32,54
2014-05-11,45,40,69
2014-05-18,53,49,77
2014-05-25,66,66,64
2014-06-01,81,74,102
2014-06-08,79,74,100
2014-06-15,84,77,102
2014-06-22,114,99,179
2014-06-29,132,126,155
2014-07-06,174,173,178
2014-07-13,157,151,185
2014-07-20,171,175,171
2014-07-27,166,173,138
2014-08-03,202,204,206
2014-08-10,176,177,171
2014-08-17,159,155,180
2014-08-24,159,144,240
2014-08-31,139,136,165
2014-09-07,115,105,166
2014-09-14,95,83,162
2014-09-21,79,77,84
2014-09-28,63,57,81
2014-10-05,55,55,60
2014-10-12,52,53,50
2014-10-19,38,38,42
2014-10-26,41,40,42
2014-11-02,35,33,43
2014-11-09,28,27,35
2014-11-16,29,28,36
2014-11-23,22,22,25
2014-11-30,20,19,21
2014-12-07,19,17,24
2014-12-14,23,22,23
2014-12-21,23,24,23
2014-12-28,21,20,23
2015-01-04,22,21,22
2015-01-11,15,15,19
2015-01-18,12,12,14
2015-01-25,11,11,12
2015-02-01,14,14,14
2015-02-08,16,17,16
2015-02-15,19,18,20
2015-02-22,22,21,24
2015-03-01,23,23,23
2015-03-08,22,21,23
2015-03-15,19,19,21
2015-03-22,14,13,15
2015-03-29,15,14,15
2015-04-05,15,15,16
2015-04-12,16,16,19
2015-04-19,15,15,16
2015-04-26,16,15,17
2015-05-03,15,14,18
2015-05-10,16,15,19
2015-05-17,17,15,21
2015-05-24,19,18,24
2015-05-31,19,18,24
2015-06-07,22,20,32
2015-06-14,29,23,55
2015-06-21,35,28,63
2015-06-28,43,34,81
2015-07-05,57,48,93
2015-07-12,55,45,94
2015-07-19,43,37,67
2015-07-26,44,36,72
2015-08-02,55,44,98
2015-08-09,52,43,84